	broad-spectrum_class_A_beta-lactamase_TEM-1	aminoglycoside_N-acetyltransferase_AAC(3)-IVa	SMR_family_transporter(WP_000159237.1)	chloramphenicol/florfenicol_efflux_MFS_transporter_FloR	NAD(+)--rifampin_ADP-ribosyltransferase_Arr-2	extended-spectrum_class_A_beta-lactamase_CTX-M-55	oxacillin-hydrolyzing_class_D_beta-lactamase_OXA-1	class_A_beta-lactamase	extended-spectrum_class_A_beta-lactamase_CTX-M-14	sulfonamide-resistant_dihydropteroate_synthase_Sul1	Group
C1	0	1	0	1	0	0	1	0	0	1	R
C10	1	0	0	0	0	0	0	0	0	0	R
C11	1	0	0	1	0	0	0	0	0	1	R
C12	1	0	0	0	0	0	0	0	0	0	R
C14	0	0	0	0	0	0	0	0	0	1	R
C15	1	1	0	1	0	0	0	0	0	0	R
C17	1	1	0	1	0	0	1	0	0	1	R
C18	1	1	0	1	0	1	1	0	0	1	R
C2	1	0	0	1	0	1	0	0	0	1	R
C20	1	0	0	1	1	0	0	0	0	0	R
C21	1	1	0	1	0	1	1	0	0	1	R
C23	0	0	0	0	0	0	0	0	0	0	R
C24	1	0	1	1	0	0	0	0	0	0	R
C26	1	1	0	1	0	0	1	0	0	1	R
C28	1	0	0	1	0	0	0	0	0	1	R
C29	0	0	1	0	0	0	0	0	0	0	R
C3	1	1	0	1	0	0	1	0	1	1	R
C30	0	1	0	1	0	0	0	0	0	0	R
C34	0	1	0	1	0	0	0	0	1	1	R
C35	1	1	0	1	0	0	1	0	0	1	R
C36	1	1	0	1	0	0	0	0	1	1	R
C37	1	0	0	0	0	0	0	0	0	0	R
C38	0	1	0	1	0	0	1	0	0	1	R
C39	1	0	0	1	0	0	0	0	0	1	R
C4	1	1	0	1	0	0	1	0	1	1	R
C40	1	0	0	1	0	0	0	0	0	1	R
C41	1	0	0	1	0	0	0	0	0	1	R
C43	1	0	0	1	0	0	0	0	0	0	R
C44	1	1	0	1	0	0	1	0	0	1	R
C45	1	0	0	0	0	0	0	0	0	1	R
C48	1	0	0	1	0	0	0	0	0	1	R
C49	0	0	0	0	0	0	0	0	0	0	R
C5	0	1	0	1	0	0	0	0	1	1	R
C7	0	1	0	0	0	0	0	0	1	1	R
C8	1	0	0	0	0	0	0	0	0	0	R
C9	0	0	0	0	0	0	0	0	0	0	R
D100	0	1	0	1	1	0	0	0	0	0	R
D101	0	1	0	1	0	0	0	0	1	0	R
D102	1	1	0	1	0	0	1	0	0	0	R
D103	0	0	0	0	0	0	0	0	0	0	R
D106	1	0	1	1	0	0	1	0	0	1	R
D107	1	0	1	1	0	0	1	0	0	1	R
D108	1	1	0	1	0	0	0	0	0	0	R
D112	0	1	0	1	0	0	1	0	0	1	R
D115	1	0	1	1	0	0	1	0	0	1	R
D117	0	1	0	1	0	0	1	0	0	1	R
D12	0	1	0	1	0	0	1	0	0	1	R
D122	1	0	0	0	0	0	0	0	0	0	R
D123	1	0	0	0	0	0	0	0	0	0	R
D128	1	0	0	0	0	0	0	0	0	0	R
D130	1	0	0	0	0	0	0	0	0	0	R
D133	1	0	0	1	0	0	1	0	0	0	R
D134	1	1	0	1	0	0	0	0	1	1	R
D135	1	0	0	1	1	0	0	0	0	0	R
D138	1	0	0	1	0	1	0	0	0	0	R
D139	1	0	0	0	0	0	0	0	0	0	R
D140	1	0	0	1	0	0	0	0	0	1	R
D141	1	0	0	0	0	0	0	0	0	0	R
D142	1	0	1	0	0	0	0	0	0	1	R
D143	1	0	0	0	0	1	0	0	0	0	R
D146	1	0	0	0	0	0	0	0	0	0	R
D147	1	0	0	0	0	0	0	0	0	0	R
D149	0	0	0	0	0	1	0	0	0	0	R
D151	1	0	0	0	0	0	0	0	0	0	R
D152	0	0	0	0	0	1	0	0	0	0	R
D154	0	1	0	1	0	0	1	0	0	1	R
D157	1	0	0	0	0	0	0	0	0	0	R
D16	1	0	1	0	0	0	0	0	0	1	R
D161	1	0	1	0	0	0	0	0	0	0	R
D163	0	0	0	0	0	0	0	0	0	0	R
D164	0	0	0	0	0	0	0	0	0	0	R
D165	1	0	0	0	0	0	0	0	0	0	R
D166	1	0	0	0	0	0	0	0	0	0	R
D169	0	1	0	1	0	0	1	0	0	1	R
D170	0	0	0	0	0	0	0	0	0	0	R
D172	1	0	0	0	0	0	0	0	0	0	R
D19	1	0	0	1	0	0	0	0	0	0	R
D2	0	1	0	1	0	1	1	0	0	1	R
D25	1	0	0	1	0	1	0	0	0	1	R
D26	1	0	0	1	0	0	0	0	0	1	R
D27	1	0	0	1	0	0	0	0	0	1	R
D28	1	0	1	0	0	0	0	0	0	1	R
D3	1	0	0	0	0	0	0	0	0	0	R
D30	1	0	0	0	0	0	1	0	0	1	R
D31	0	0	0	0	0	0	0	0	0	0	R
D32	1	0	0	1	0	0	0	0	0	0	R
D35	0	0	0	0	0	0	0	0	0	0	R
D36	1	0	0	1	0	0	0	0	0	1	R
D37	1	0	0	1	1	1	0	0	0	0	R
D38	1	0	0	1	0	0	0	0	0	1	R
D4	0	1	0	1	0	0	1	0	0	1	R
D40	1	0	0	1	0	0	1	0	0	1	R
D41	0	0	0	0	0	0	0	0	0	0	R
D43	0	1	0	1	0	0	1	0	0	1	R
D45	1	0	0	1	1	1	0	0	0	0	R
D46	0	0	0	0	0	0	0	0	0	0	R
D47	0	1	0	1	1	0	0	0	0	0	R
D48	0	0	0	0	0	0	0	0	0	0	R
D5	1	0	0	1	0	0	0	0	0	1	R
D50	0	0	0	0	0	0	0	0	0	0	R
D51	0	0	0	0	0	0	0	0	0	0	R
D52	0	1	0	1	0	0	1	0	0	1	R
D53	0	1	0	1	0	1	1	0	0	1	R
D54	1	0	0	1	1	1	0	0	0	0	R
D55	1	0	0	1	1	1	0	0	0	0	R
D56	0	0	0	0	0	0	1	0	0	1	R
D57	0	0	0	0	0	0	0	0	0	1	R
D58	0	0	0	1	1	1	0	0	0	0	R
D59	1	0	0	0	0	0	0	0	0	0	R
D6	0	0	0	0	0	0	0	0	0	1	R
D61	1	0	0	0	0	0	0	0	1	0	R
D63	1	0	0	0	0	0	0	0	0	0	R
D64	1	0	0	0	0	0	0	0	0	0	R
D65	0	1	0	1	0	0	1	0	0	1	R
D66	1	1	0	1	0	0	1	0	0	1	R
D68	0	1	0	1	0	0	1	0	0	1	R
D69	1	0	0	0	0	0	0	0	0	1	R
