	extended-spectrum_class_A_beta-lactamase_CTX-M-55	extended-spectrum_class_A_beta-lactamase_CTX-M-65	extended-spectrum_class_A_beta-lactamase_CTX-M-14	quinolone_resistance_pentapeptide_repeat_protein_QnrB22	class_C_beta-lactamase_CMY-2	macrolide_resistance_MFS_transporter_Mrx(A)	extended-spectrum_class_A_beta-lactamase_CTX-M-123	MBL_fold_metallo-hydrolase(WP_001522969.1)	extended-spectrum_class_A_beta-lactamase_CTX-M-64	sulfonamide-resistant_dihydropteroate_synthase_Sul1	Group
C1	0	0	0	0	1	0	0	0	0	1	R
C13	0	0	0	0	0	0	0	0	0	0	R
C16	0	1	0	0	0	0	0	0	0	0	R
C18	1	0	0	0	0	0	0	0	0	1	R
C2	1	0	0	0	0	1	0	0	0	1	R
C23	0	0	0	0	0	0	0	0	0	0	R
C29	0	0	0	0	0	0	0	0	0	0	R
C3	0	0	1	0	0	0	0	0	0	1	R
C33	1	0	1	0	0	1	0	0	0	1	R
C34	0	0	1	0	0	0	0	0	0	1	R
C36	0	0	1	0	0	1	0	0	0	1	R
C37	0	0	0	0	0	0	0	0	0	0	R
C38	0	0	0	1	0	1	0	0	0	1	R
C42	0	0	0	0	0	0	0	0	0	1	R
C48	0	0	0	0	0	1	0	1	0	1	R
C5	0	0	1	0	0	0	0	0	0	1	R
C50	0	0	0	0	0	0	0	0	0	1	R
C51	0	0	0	0	0	0	0	0	0	1	R
C7	0	0	1	0	0	0	0	0	0	1	R
C8	0	0	0	0	0	0	0	0	0	0	R
C9	0	0	0	0	0	0	0	0	0	0	R
D100	0	1	0	0	0	0	0	0	0	0	R
D101	0	0	1	0	0	0	0	0	0	0	R
D102	0	1	0	0	0	1	0	0	0	0	R
D103	0	0	0	0	0	0	0	0	0	0	R
D104	0	0	0	0	1	0	0	0	0	1	R
D106	0	0	0	0	1	1	0	0	0	1	R
D108	0	0	0	0	1	0	0	0	0	0	R
D109	0	0	0	0	1	0	0	0	0	0	R
D111	0	0	0	0	0	0	0	0	0	0	R
D114	0	0	0	0	1	1	0	0	0	1	R
D132	0	1	0	0	0	1	0	0	0	0	R
D133	0	0	0	1	0	1	0	0	0	0	R
D138	1	0	0	0	0	0	0	0	0	0	R
D139	0	0	0	0	0	0	0	0	0	0	R
D140	0	0	0	0	0	0	0	0	0	1	R
D141	0	0	0	0	0	0	0	0	0	0	R
D143	1	0	0	0	0	0	0	0	0	0	R
D145	1	0	0	0	0	1	0	0	0	0	R
D149	1	0	0	0	0	0	0	0	0	0	R
D152	1	0	0	0	0	0	0	0	0	0	R
D157	0	0	0	0	0	0	0	0	0	0	R
D161	0	0	0	0	0	0	0	0	0	0	R
D163	0	0	0	0	0	0	0	0	0	0	R
D170	0	0	0	0	0	0	0	0	0	0	R
D172	0	0	0	0	0	0	0	0	0	0	R
D2	1	0	0	0	0	0	0	0	0	1	R
D24	0	0	0	0	0	0	0	0	0	0	R
D25	1	0	0	0	0	1	0	1	0	1	R
D29	0	0	1	0	0	0	0	0	0	1	R
D3	0	0	0	0	0	0	0	0	0	0	R
D31	0	0	0	0	0	0	0	0	0	0	R
D34	0	0	0	0	0	0	0	0	0	1	R
D35	0	0	0	0	0	0	0	1	0	0	R
D37	1	0	0	0	0	1	0	0	0	0	R
D40	0	0	0	1	0	1	0	0	0	1	R
D41	0	0	0	0	0	0	0	0	0	0	R
D44	1	0	0	0	0	0	0	0	0	1	R
D45	1	0	0	0	0	1	0	0	0	0	R
D46	0	0	0	0	0	0	0	0	0	0	R
D47	0	1	0	0	0	0	0	0	0	0	R
D5	0	0	0	0	1	1	0	0	0	1	R
D51	0	0	0	0	0	0	0	0	0	0	R
D53	1	0	0	0	0	0	0	0	0	1	R
D54	1	0	0	0	0	1	0	0	0	0	R
D55	1	0	0	0	0	0	0	0	0	0	R
D56	0	0	0	1	0	1	0	0	0	1	R
D57	0	0	0	0	0	0	0	0	0	1	R
D58	1	0	0	0	0	0	0	0	0	0	R
D6	0	0	0	1	0	0	0	0	0	1	R
D61	0	0	1	0	0	0	0	0	0	0	R
D62	0	0	1	0	0	0	0	0	0	0	R
D68	0	0	0	1	0	0	0	0	0	1	R
D7	0	0	0	0	0	0	0	0	0	0	R
D71	1	0	0	0	0	1	0	1	0	0	R
D72	0	0	1	0	0	0	0	0	0	0	R
D76	0	0	0	0	1	1	0	0	0	1	R
D77	0	0	0	0	1	1	0	0	0	1	R
D78	0	0	0	0	1	1	0	0	0	1	R
D79	0	0	0	0	0	0	0	0	0	0	R
D8	0	0	0	0	0	0	0	0	0	1	R
D80	1	0	0	0	0	0	0	0	0	0	R
D81	0	0	0	0	1	1	0	0	0	1	R
D86	0	0	1	0	0	0	0	0	0	1	R
D88	0	0	0	0	0	0	0	0	0	0	R
D89	1	0	0	0	0	1	0	0	0	0	R
D91	0	1	0	0	0	1	0	0	0	0	R
D92	0	1	0	0	0	0	0	0	0	1	R
D93	0	1	0	0	0	0	0	0	0	1	R
D95	0	1	0	0	0	1	0	0	0	1	R
D96	0	0	1	0	0	1	0	0	0	0	R
D97	0	0	0	0	0	0	0	0	0	0	R
D98	0	0	0	0	0	0	0	0	0	0	R
D99	0	0	0	0	0	0	0	0	0	1	R
E1	0	1	0	0	0	0	0	0	0	0	R
FujianCDC_FujianCDC_JS22A105	0	1	0	0	0	0	0	0	0	0	R
