	tetracycline_efflux_MFS_transporter_Tet(B)	tetracycline_repressor_protein_class_A(tetR)	tetracycline_efflux_MFS_transporter_Tet(G)	tetracycline_resistance_transcriptional_repressor_TetR(G)	tetracycline_efflux_MFS_transporter_Tet(D)	Group
C1	0	0	0	0	1	R
C10	0	0	0	0	0	R
C11	0	1	0	0	0	R
C12	1	0	0	0	0	R
C13	0	0	0	0	0	R
C14	1	0	0	0	0	R
C15	1	0	0	0	0	R
C16	1	1	0	0	0	R
C17	1	0	0	0	0	R
C18	1	1	0	0	0	R
C19	1	0	0	0	0	R
C2	1	1	0	0	0	R
C21	1	1	0	0	0	R
C23	0	0	0	0	0	R
C24	0	1	0	0	0	R
C25	1	0	0	0	0	R
C26	1	0	0	0	0	R
C27	0	1	0	0	0	R
C3	1	0	0	0	0	R
C32	1	0	0	0	0	R
C34	1	0	0	0	0	R
C35	1	0	0	0	0	R
C36	1	0	0	0	0	R
C37	0	0	0	0	0	R
C38	0	1	0	0	0	R
C39	0	0	0	0	0	R
C4	1	0	0	0	0	R
C41	0	1	0	0	0	R
C42	0	0	0	0	1	R
C44	1	0	0	0	0	R
C45	0	0	0	0	0	R
C46	1	0	0	0	0	R
C48	0	1	0	0	0	R
C49	0	0	0	0	0	R
C5	1	0	0	0	0	R
C50	1	0	0	0	0	R
C6	1	0	0	0	0	R
C7	1	0	0	0	0	R
D1	0	0	0	0	1	R
D10	0	0	0	0	0	R
D100	0	1	0	0	0	R
D101	1	0	0	0	0	R
D102	0	1	0	0	0	R
D103	0	0	0	0	0	R
D104	1	0	0	0	0	R
D105	0	1	0	0	0	R
D107	0	1	0	0	0	R
D108	0	1	0	0	0	R
D109	0	1	0	0	0	R
D11	1	0	0	0	0	R
D114	0	1	0	0	0	R
D115	0	1	0	0	0	R
D117	1	0	0	0	0	R
D121	0	0	0	0	0	R
D126	0	0	0	0	0	R
D127	0	0	0	0	0	R
D128	0	1	0	0	0	R
D129	0	1	0	0	0	R
D132	0	1	0	0	0	R
D133	0	1	0	0	0	R
D134	1	0	0	0	0	R
D135	0	1	0	0	0	R
D136	1	0	0	0	0	R
D137	1	1	0	0	0	R
D138	1	0	0	0	0	R
D139	1	0	0	0	0	R
D141	1	0	0	0	0	R
D142	0	1	0	0	0	R
D143	1	0	0	0	0	R
D144	1	0	0	0	0	R
D145	1	0	0	0	0	R
D146	1	0	0	0	0	R
D147	1	0	0	0	0	R
D148	1	0	0	0	0	R
D149	1	0	0	0	0	R
D157	0	0	0	0	0	R
D16	0	1	0	0	0	R
D161	0	1	0	0	0	R
D163	0	0	0	0	0	R
D164	0	0	0	0	0	R
D165	1	0	0	0	0	R
D166	0	0	0	0	0	R
D169	1	0	0	0	0	R
D170	0	0	0	0	0	R
D172	1	0	0	0	0	R
D22	1	0	0	0	0	R
D24	0	0	0	0	0	R
D25	0	1	0	0	0	R
D26	0	1	0	0	0	R
D27	0	1	0	0	0	R
D28	0	1	0	0	0	R
D29	0	1	0	0	0	R
D3	0	0	0	0	0	R
