	Feature	Importance
1	broad-spectrum_class_A_beta-lactamase_TEM-1	0.23174661
2	chloramphenicol/florfenicol_efflux_MFS_transporter_FloR	0.14931013
0	eptB|SNP-750-750	0.08442661
3	extended-spectrum_class_A_beta-lactamase_CTX-M-55	0.0788761
9	aminoglycoside_O-phosphotransferase_APH(6)-Id	0.06858681
8	extended-spectrum_class_A_beta-lactamase_CTX-M-65	0.054109026
11	extended-spectrum_class_A_beta-lactamase_CTX-M-14	0.050227396
7	aminoglycoside_O-phosphotransferase_APH(3')-Ia	0.041371677
19	Mph(A)_family_macrolide_2'-phosphotransferase	0.038053036
6	DNA-directed_RNA_polymerase_subunit_beta(rpoB)|SNP-3531-3531	0.023099886
5	chloramphenicol/florfenicol_efflux_MFS_transporter_FloR|SNP-482-482	0.021508543
29	class_C_beta-lactamase_CMY-2	0.017905133
15	multidrug_efflux_MFS_transporter_MdtM|SNP-121-121	0.014289432
18	fosfomycin_resistance_glutathione_transferase_FosA3	0.013261957
25	multidrug_efflux_RND_transporter_periplasmic_adaptor_subunit_OqxA	0.0105921775
12	sulfonamide-resistant_dihydropteroate_synthase_Sul2|SNP-792-792	0.010167152
20	ANT(3'')-Ia_family_aminoglycoside_nucleotidyltransferase_AadA|SNP-48-48	0.009528516
4	type_B-3_chloramphenicol_O-acetyltransferase_CatB3	0.009402564
21	chloramphenicol_efflux_MFS_transporter_CmlV	0.009106701
13	chloramphenicol/florfenicol_efflux_MFS_transporter_FloR|SNP-478-478	0.008326118
26	aminoglycoside_N-acetyltransferase_AAC(6')-Iy|SNP-426-426	0.0076133413
17	multidrug_efflux_MFS_transporter_MdtM|SNP-513-513	0.007174495
14	DNA-directed_RNA_polymerase_subunit_beta(rpoB)|SNP-708-708	0.007142644
27	bifunctional_UDP-4-amino-4-deoxy-L-arabinose_formyltransferase/UDP-glucuronic_acid_oxidase_ArnA|SNP-45-45	0.0067087943
23	macrolide_resistance_MFS_transporter_Mrx(A)|SNP-333-333	0.00614694
24	multidrug_efflux_RND_transporter_periplasmic_adaptor_subunit_MdsA|SNP-1027-1027	0.0057079657
28	Macrolide_export_ATP-binding/permease_protein_MacB|SNP-960-960	0.0053608017
16	sensor_histidine_kinase_KdpD|SNP-1428-1428	0.0035866373
22	Macrolide_export_protein_MacA|SNP-1018-1018	0.0034611844
10	ANT(3'')-Ia_family_aminoglycoside_nucleotidyltransferase_AadA|SNP-657-657	0.003201668
