	Feature	Importance
0	quinolone_resistance_pentapeptide_repeat_protein_QnrB22	0.48727527
1	class_C_beta-lactamase_CMY-2	0.33211213
3	DNA-binding_transcriptional_regulator_RamA	0.042041235
4	bleomycin_binding_protein_Ble-MBL	0.023464603
6	extended-spectrum_class_C_beta-lactamase_DHA-1	0.02089217
9	multidrug_efflux_transporter_EmrAB_transcriptional_repressor_EmrR	0.016342707
2	MBL_fold_metallo-hydrolase(WP_240829419.1)	0.01086676
13	penicillin-binding_protein_2(WP_000142857.1)	0.0056942855
15	MBL_fold_metallo-hydrolase(WP_001207993.1)	0.0055038515
5	vancomycin_resistance_histidine_kinase_VanS-D	0.0054525523
22	multidrug_efflux_MFS_transporter_periplasmic_adaptor_subunit_EmrA	0.00536339
8	class_A_beta-lactamase_LAP-2	0.005149215
12	vancomycin_resistance_histidine_kinase_VanS-B	0.004874298
11	macrolide_resistance_MFS_transporter_Mrx(A)	0.004827092
7	multidrug_efflux_pump_membrane_fusion_lipoprotein_AcrE	0.0032610134
29	SMR_family_transporter(WP_000159237.1)	0.0031756002
26	aminoglycoside_O-phosphotransferase_APH(3')-IIa	0.0027912138
17	multidrug_efflux_RND_transporter_periplasmic_adaptor_subunit_OqxA	0.0027136088
16	Polymyxin_resistance_protein_PmrF	0.0026187703
25	sulfonamide-resistant_dihydropteroate_synthase_Sul1	0.0025068712
23	extended-spectrum_class_A_beta-lactamase_CTX-M-55	0.002327777
20	RamA_family_antibiotic_efflux_transcriptional_regulator(WP_000155631.1)	0.0020770365
19	MBL_fold_metallo-hydrolase(WP_023232699.1)	0.0017639665
24	SMR_family_transporter(WP_000159240.1)	0.001647003
21	class_A_beta-lactamase_TEM-150	0.0014336258
27	aminoglycoside_N-acetyltransferase_AAC(3)-IId	0.0014005556
14	Bcr/CflA_family_multidrug_efflux_MFS_transporter(WP_000213349.1)	0.00081903476
18	UDP-N-acetylglucosamine_1-carboxyvinyltransferase(WP_000357288.1)	0.0008085043
10	Mph(A)_family_macrolide_2'-phosphotransferase	0.0007958372
28	MBL_fold_metallo-hydrolase(WP_152159326.1)	0.0
