	Feature	Importance
0	broad-spectrum_class_A_beta-lactamase_TEM-1	0.29866162
1	chloramphenicol/florfenicol_efflux_MFS_transporter_FloR	0.14351521
5	NAD(+)--rifampin_ADP-ribosyltransferase_Arr-2	0.10360642
13	aminoglycoside_O-phosphotransferase_APH(3')-Ia	0.10254513
3	oxacillin-hydrolyzing_class_D_beta-lactamase_OXA-1	0.05410654
11	extended-spectrum_class_A_beta-lactamase_CTX-M-55	0.04766232
4	SMR_family_transporter(WP_000159237.1)	0.039715275
12	aminoglycoside_N-acetyltransferase_AAC(3)-IVa	0.03468774
15	oxacillin-hydrolyzing_class_D_beta-lactamase_OXA-10	0.034478977
18	aminoglycoside_O-phosphotransferase_APH(6)-Id	0.030847292
14	extended-spectrum_class_A_beta-lactamase_CTX-M-65	0.030489342
7	extended-spectrum_class_A_beta-lactamase_CTX-M-14	0.0218435
9	class_A_beta-lactamase	0.013274859
17	class_C_beta-lactamase_CMY-2	0.011786395
10	tetracycline_resistance_ribosomal_protection_protein_Tet(M)	0.008576849
8	sulfonamide-resistant_dihydropteroate_synthase_Sul1	0.006847794
19	carbenicillinase-3_beta-lactamase	0.00637074
2	ANT(3'')-Ia_family_aminoglycoside_nucleotidyltransferase_AadA16	0.005368008
6	penicillin-binding_protein_2(WP_000142867.1)	0.0030468537
16	fosfomycin_resistance_glutathione_transferase_FosA3	0.002569161
