	Feature	Importance
1	macrolide_resistance_MFS_transporter_Mrx(A)	0.5447095
0	Mph(A)_family_macrolide_2'-phosphotransferase	0.3881564
3	MBL_fold_metallo-hydrolase(WP_001208014.1)	0.010239768
7	Outer_membrane_protein_TolC|SNP-1344-1344	0.0055222786
5	extended-spectrum_class_A_beta-lactamase_CTX-M-55	0.004530465
2	sensor_histidine_kinase_KdpD|SNP-1300-1300	0.004423135
29	chloramphenicol/florfenicol_efflux_MFS_transporter_FloR|SNP-441-441	0.003340167
16	penicillin_binding_protein_PBP4B|SNP-267-267	0.0033037828
17	16S_rRNA_(guanine(1405)-N(7))-methyltransferase_ArmA	0.002859832
6	stress_response_regulator_transcription_factor_CpxR|SNP-303-303	0.002622462
28	DNA-binding_transcriptional_regulator_H-NS|SNP-255-255	0.0025753852
10	lipid_IV(A)_4-amino-4-deoxy-L-arabinosyltransferase|SNP-1081-1081	0.0024759094
19	23S_rRNA_(guanine(745)-N(1))-methyltransferase|SNP-540-540	0.0022843962
22	multidrug_resistance_outer_membrane_protein_MdtQ|SNP-537-537	0.002160725
4	redox-sensitive_transcriptional_activator_SoxR|SNP-165-165	0.0019593774
15	multidrug_efflux_MFS_transporter_periplasmic_adaptor_subunit_EmrA|SNP-912-912	0.0018165701
18	Multidrug_resistance_protein_MdtK|SNP-276-276	0.0016868422
23	bifunctional_UDP-4-amino-4-deoxy-L-arabinose_formyltransferase/UDP-glucuronic_acid_oxidase_ArnA|SNP-45-45	0.0015554861
20	chloramphenicol/florfenicol_efflux_MFS_transporter_FloR|SNP-479-479	0.0014358425
25	multidrug_efflux_RND_transporter_permease_subunit_MdsB|SNP-565-565	0.0014178267
26	multidrug_efflux_RND_transporter_permease_subunit_MdsB|SNP-1224-1224	0.0013412632
12	multidrug_efflux_MFS_transporter_MdtM|SNP-261-261	0.0013384141
8	penicillin_binding_protein_PBP4B|SNP-909-909	0.0012840128
13	multidrug_efflux_MFS_transporter_MdtM|SNP-996-996	0.0012663316
21	sensor_histidine_kinase_KdpD|SNP-1539-1539	0.001143643
14	aminoglycoside_6'-N-acetyltransferase_AAC(6')-Iaa|SNP-201-201	0.0010884049
9	multidrug_efflux_MFS_transporter_MdtM|SNP-747-747	0.0010699242
24	transcriptional_regulator_LeuO|SNP-516-516	0.0010492115
27	phosphoethanolamine_transferase_EptA|SNP-90-90	0.00079239206
11	multidrug_efflux_RND_transporter_permease_subunit_MdsB|SNP-1005-1005	0.00055021467
