ID	Gene_name	Alternative_name	Gene_name_use	Alternative_name_use	Product_name
NCBI_7068	aac(2')-I(A267)	NA	AAC(2')-I(A267)		aminoglycoside_N-acetyltransferase_AAC(2')-I(A267)
NCBI_6284	aac(2')-Ia	NA	AAC(2')-Ia		aminoglycoside_N-acetyltransferase_AAC(2')-Ia
ARGANNOT_3	aac2-Ib	NA	AAC(2')-Ib	AAC(2')-Ib	aminoglycoside N-acetyltransferase AAC(2')-Ib
NCBI_6185	aac(2')-Ib	NA	AAC(2')-Ib		aminoglycoside_N-acetyltransferase_AAC(2')-Ib
ARGANNOT_4	aac2-Ic	NA	AAC(2')-Ic	AAC(2')-Ic	aminoglycoside N-acetyltransferase AAC(2')-Ic
NCBI_6187	aac(2')-Ic	NA	AAC(2')-Ic		aminoglycoside_N-acetyltransferase_AAC(2')-Ic
ARGANNOT_5	aac(2')-Id	NA	AAC(2')-Id		aminoglycoside N-acetyltransferase AAC(2')-Id
NCBI_6564	aac(2')-Id	NA	AAC(2')-Id		aminoglycoside_N-acetyltransferase_AAC(2')-Id
NCBI_6476	aac(2')-Ie	NA	AAC(2')-Ie		aminoglycoside_N-acetyltransferase_AAC(2')-Ie
NCBI_74	aac(2')-IIa	NA	AAC(2')-IIa		kasugamycin_N-acetyltransferase_AAC(2')-IIa
NCBI_2124	aac(2')-IIb	NA	AAC(2')-IIb		kasugamycin_N-acetyltransferase_AAC(2')-IIb
NCBI_7561	aac(3)-C1264	NA	AAC(3)-C1264		aminoglycoside_N-acetyltransferase_AAC(3)-C1264
NCBI_7760	aac(3)-C322	NA	AAC(3)-C322		aminoglycoside_N-acetyltransferase_AAC(3)-C322
NCBI_6532	aac(3)-I	NA	AAC(3)-I		AAC(3)-I_family_aminoglycoside_3-N-acetyltransferase
NCBI_75	aac(3)-I	NA	AAC(3)-I		AAC(3)-I_family_aminoglycoside_3-N-acetyltransferase
NCBI_79	aac(3)-I	NA	AAC(3)-I		AAC(3)-I_family_aminoglycoside_3-N-acetyltransferase
ARGANNOT_18	aac3-I	NA	AAC(3)-I	AAC(3)-I	Aminoglycoside N(3)-acetyltransferase I
NCBI_6036	aac(3)-Ia	aacC1	AAC(3)-Ia	aacC1	aminoglycoside_N-acetyltransferase_AAC(3)-Ia
NCBI_6911	aac(3)-Ia	aacC1	AAC(3)-Ia	aacC1	aminoglycoside_N-acetyltransferase_AAC(3)-Ia
NCBI_7364	aac(3)-Ia	aacC1	AAC(3)-Ia	aacC1	aminoglycoside_N-acetyltransferase_AAC(3)-Ia
NCBI_7412	aac(3)-Ia	aacC1	AAC(3)-Ia	aacC1	aminoglycoside_N-acetyltransferase_AAC(3)-Ia
NCBI_76	aac(3)-Ia	aacC1	AAC(3)-Ia	aacC1	aminoglycoside_N-acetyltransferase_AAC(3)-Ia
NCBI_77	aac(3)-Ia	aacC1	AAC(3)-Ia	aacC1	aminoglycoside_N-acetyltransferase_AAC(3)-Ia
NCBI_78	aac(3)-Ia	aacC1	AAC(3)-Ia	aacC1	aminoglycoside_N-acetyltransferase_AAC(3)-Ia
CARD_523	AAC(3)-Ib	AAC(3)-Ib	AAC(3)-Ib		aminoglycoside_N-acetyltransferase_AAC(3)-Ib
NCBI_2466	aac(3)-Ib	NA	AAC(3)-Ib		aminoglycoside_N-acetyltransferase_AAC(3)-Ib
NCBI_6455	aac(3)-Ib	NA	AAC(3)-Ib		aminoglycoside_N-acetyltransferase_AAC(3)-Ib
NCBI_62	aac(3)-Ib	NA	AAC(3)-Ib		bifunctional_aminoglycoside_N-acetyltransferase_AAC(3)-Ib/aminoglycoside_N-acetyltransferase_AAC(6')-Ib''
NCBI_7565	aac(3)-Ic	NA	AAC(3)-Ic		aminoglycoside_N-acetyltransferase_AAC(3)-Ic
ARGANNOT_22	aac3-Id	NA	AAC(3)-Id	AAC(3)-Id	aminoglycoside N-acetyltransferase AAC(3)-Id
NCBI_6151	aac(3)-Id	NA	AAC(3)-Id		aminoglycoside_N-acetyltransferase_AAC(3)-Id
NCBI_7640	aac(3)-Id	NA	AAC(3)-Id		aminoglycoside_N-acetyltransferase_AAC(3)-Id
NCBI_2315	aac(3)-If	NA	AAC(3)-If		aminoglycoside_N-acetyltransferase_AAC(3)-If
