	Feature	Importance
1	chloramphenicol/florfenicol_efflux_MFS_transporter_FloR|SNP-359-359	0.31227192
8	chloramphenicol/florfenicol_efflux_MFS_transporter_FloR|SNP-482-482	0.10976584
12	DNA_gyrase_subunit_A_GyrA|SNP-248-248	0.08061092
23	quinolone_resistance_pentapeptide_repeat_protein_QnrB43	0.07577212
11	quinolone_resistance_pentapeptide_repeat_protein_QnrS1	0.0676952
17	DNA_gyrase_subunit_A_GyrA|SNP-259-259	0.05998835
0	chloramphenicol/florfenicol_efflux_MFS_transporter_FloR|SNP-793-793	0.05513551
19	NAD(+)--rifampin_ADP-ribosyltransferase_Arr-3	0.038820505
16	aminoglycoside_O-phosphotransferase_APH(3')-Ia	0.026068956
6	trimethoprim-resistant_dihydrofolate_reductase_DfrA27	0.025517952
10	aminoglycoside_6'-N-acetyltransferase_AAC(6')-Ib-cr6	0.021282297
21	quinolone_resistance_pentapeptide_repeat_protein_QnrS2	0.019434636
14	oxacillin-hydrolyzing_class_D_beta-lactamase_OXA-1	0.017209144
3	sulfonamide-resistant_dihydropteroate_synthase_Sul1	0.01636031
2	23S_rRNA_(guanine(745)-N(1))-methyltransferase|SNP-632-632	0.012178156
4	DNA_topoisomerase_IV_subunit_A_ParC|SNP-397-397	0.011451344
28	D-alanine--D-alanine_ligase_ddlA|SNP-696-696	0.0072923745
22	lipid_IV(A)_4-amino-4-deoxy-L-arabinosyltransferase|SNP-621-621	0.0063098
26	DNA_topoisomerase_IV_subunit_A_ParC|SNP-591-591	0.0057807206
24	DNA_topoisomerase_IV_subunit_A_ParC|SNP-1857-1857	0.004934474
27	D-alanine--D-alanine_ligase_ddlA|SNP-585-585	0.0048916712
18	sulfonamide-resistant_dihydropteroate_synthase_Sul2|SNP-489-489	0.003979557
15	multidrug_efflux_RND_transporter_permease_subunit_MdsB|SNP-1704-1704	0.0038033267
7	23S_rRNA_(guanine(745)-N(1))-methyltransferase|SNP-543-543	0.0033435381
9	DNA_topoisomerase_IV_subunit_A_ParC|SNP-303-303	0.0025140252
29	D-alanine--D-alanine_ligase_ddlA|SNP-138-138	0.0022623332
13	undecaprenyl-phosphate_4-deoxy-4-formamido-L-arabinose_transferase|SNP-885-885	0.0017894151
20	DNA_gyrase_subunit_B|SNP-726-726	0.0017383026
25	DNA_gyrase_subunit_A_GyrA|SNP-1203-1203	0.0012268353
5	UDP-glucose_6-dehydrogenase|SNP-179-179	0.00057048467
