Feature	Score
broad-spectrum_class_A_beta-lactamase_TEM-1	2
aminoglycoside_N-acetyltransferase_AAC(3)-IVa	2
SMR_family_transporter(WP_000159237.1)	4
chloramphenicol/florfenicol_efflux_MFS_transporter_FloR	6
NAD(+)--rifampin_ADP-ribosyltransferase_Arr-2	2
extended-spectrum_class_A_beta-lactamase_CTX-M-55	4
oxacillin-hydrolyzing_class_D_beta-lactamase_OXA-1	0
class_A_beta-lactamase	4
extended-spectrum_class_A_beta-lactamase_CTX-M-14	0
sulfonamide-resistant_dihydropteroate_synthase_Sul1	2
ANT(3'')-Ia_family_aminoglycoside_nucleotidyltransferase_AadA16	2
penicillin-binding_protein_2(WP_000142867.1)	4
tetracycline_resistance_ribosomal_protection_protein_Tet(M)	0
aminoglycoside_O-phosphotransferase_APH(3')-Ia	4
extended-spectrum_class_A_beta-lactamase_CTX-M-65	4
oxacillin-hydrolyzing_class_D_beta-lactamase_OXA-10	2
fosfomycin_resistance_glutathione_transferase_FosA3	2
class_C_beta-lactamase_CMY-2	0
aminoglycoside_O-phosphotransferase_APH(6)-Id	6
carbenicillinase-3_beta-lactamase	0
Mph(A)_family_macrolide_2'-phosphotransferase	4
macrolide_resistance_MFS_transporter_Mrx(A)	4
MBL_fold_metallo-hydrolase(WP_001208014.1)	0
16S_rRNA_(guanine(1405)-N(7))-methyltransferase_ArmA	0
sensor_histidine_kinase_KdpD|SNP-1300-1300	2
redox-sensitive_transcriptional_activator_SoxR|SNP-165-165	2
stress_response_regulator_transcription_factor_CpxR|SNP-303-303	4
Outer_membrane_protein_TolC|SNP-1344-1344	2
penicillin_binding_protein_PBP4B|SNP-909-909	8
multidrug_efflux_MFS_transporter_MdtM|SNP-747-747	2
lipid_IV(A)_4-amino-4-deoxy-L-arabinosyltransferase|SNP-1081-1081	4
multidrug_efflux_RND_transporter_permease_subunit_MdsB|SNP-1005-1005	0
multidrug_efflux_MFS_transporter_MdtM|SNP-261-261	1
multidrug_efflux_MFS_transporter_MdtM|SNP-996-996	2
aminoglycoside_6'-N-acetyltransferase_AAC(6')-Iaa|SNP-201-201	2
