	Feature	Importance
1	aminoglycoside_N-acetyltransferase_AAC(3)-IId	0.3039002
2	aminoglycoside_N-acetyltransferase_AAC(3)-IVa	0.2629007
3	aminoglycoside_O-phosphotransferase_APH(3')-Ia	0.15955961
5	aminoglycoside_N-acetyltransferase_AAC(3)-IIe	0.05595413
4	aminoglycoside_N-acetyltransferase_AAC(3)-Id	0.05546547
0	chloramphenicol/florfenicol_efflux_MFS_transporter_FloR|SNP-482-482	0.03648191
23	macrolide_resistance_MFS_transporter_Mrx(A)	0.018977031
25	aminoglycoside_N-acetyltransferase_AAC(3)-VIa	0.018612495
11	16S_rRNA_(guanine(1405)-N(7))-methyltransferase_RmtB1	0.013420276
20	DNA-directed_RNA_polymerase_subunit_beta(rpoB)|SNP-2944-2944	0.00879586
8	macrolide_resistance_MFS_transporter_Mrx(A)|SNP-1063-1063	0.008268982
7	sulfonamide-resistant_dihydropteroate_synthase_Sul1	0.0076450803
21	multidrug_efflux_RND_transporter_permease_subunit_MdsB|SNP-1704-1704	0.0062639387
18	aminoglycoside_O-phosphotransferase_APH(3')-Ia|SNP-252-252	0.004435202
16	aminoglycoside_O-phosphotransferase_APH(3'')-Ib	0.0043912707
6	sensor_histidine_kinase_KdpD|SNP-1005-1005	0.0038640995
24	trimethoprim-resistant_dihydrofolate_reductase_DfrA17	0.0034044322
15	extended-spectrum_class_C_beta-lactamase_DHA-1	0.003169636
9	UDP-glucose_6-dehydrogenase|SNP-336-336	0.0031592716
28	lipid_IV(A)_4-amino-4-deoxy-L-arabinosyltransferase|SNP-1060-1060	0.0028631764
10	multidrug_efflux_RND_transporter_permease_subunit_MdsB|SNP-126-126	0.0027573833
14	multidrug_efflux_RND_transporter_periplasmic_adaptor_subunit_MdsA|SNP-1131-1131	0.002695507
22	eptB|SNP-238-238	0.0024624004
26	penicillin_binding_protein_PBP4B|SNP-285-285	0.0021182338
19	phosphoethanolamine--lipid_A_transferase_MCR-1.1|SNP-1519-1519	0.0020414998
13	UDP-glucose_6-dehydrogenase|SNP-1125-1125	0.0017875363
27	DNA-directed_RNA_polymerase_subunit_beta(rpoB)|SNP-2046-2046	0.0014242518
17	sensor_histidine_kinase_KdpD|SNP-2077-2077	0.0012328443
12	Au(I)_sensor_transcriptional_regulator_GolS|SNP-441-441	0.001163003
29	bifunctional_UDP-4-amino-4-deoxy-L-arabinose_formyltransferase/UDP-glucuronic_acid_oxidase_ArnA|SNP-1819-1819	0.00078456366
