	Feature	Importance
1	DNA_gyrase_subunit_A_GyrA|SNP-259-259	0.36746645
2	DNA_gyrase_subunit_A_GyrA|SNP-260-260	0.18275566
0	DNA_topoisomerase_IV_subunit_A_ParC|SNP-239-239	0.16169429
3	DNA_gyrase_subunit_A_GyrA|SNP-248-248	0.1334934
6	DNA-binding_transcriptional_regulator_RamA	0.043285802
5	multidrug_efflux_RND_transporter_permease_subunit_OqxB	0.028589394
4	DNA_topoisomerase_IV_subunit_A_ParC|SNP-1783-1783	0.024055455
7	multidrug_efflux_RND_transporter_permease_subunit_OqxB2	0.012158023
15	quinolone_resistance_pentapeptide_repeat_protein_QnrB10	0.008937142
16	quinolone_resistance_pentapeptide_repeat_protein_QnrB43	0.008532084
8	bleomycin_binding_protein(pseudo)	0.007807506
11	quinolone_resistance_pentapeptide_repeat_protein_QnrS2	0.0063310005
9	MBL_fold_metallo-hydrolase(WP_240829419.1)	0.005861449
17	multidrug_efflux_RND_transporter_permease_subunit_MdsB|SNP-2640-2640	0.002247499
18	TetR/AcrR_family_transcriptional_regulator_RamR|SNP-309-309	0.0018044706
10	penicillin_binding_protein_PBP4B|SNP-333-333	0.0013241532
14	DNA_topoisomerase_IV_subunit_A_ParC|SNP-1857-1857	0.0012129771
19	sensor_histidine_kinase_KdpD|SNP-477-477	0.0009412957
12	lipid_IV(A)_4-amino-4-deoxy-L-arabinosyltransferase|SNP-792-792	0.0007893775
13	MBL_fold_metallo-hydrolase(WP_000976561.1)|SNP-35-35	0.0007124921
