	Feature	Importance
0	chloramphenicol/florfenicol_efflux_MFS_transporter_FloR	0.23760131
5	trimethoprim-resistant_dihydrofolate_reductase_DfrA12	0.1651441
1	quaternary_ammonium_compound_efflux_SMR_transporter_QacE_delta_1	0.13581187
2	trimethoprim-resistant_dihydrofolate_reductase_DfrA27	0.13097332
6	trimethoprim-resistant_dihydrofolate_reductase_DfrA14	0.09020401
19	ANT(3'')-Ia_family_aminoglycoside_nucleotidyltransferase_AadA5	0.06129079
12	OXA-10_family_class_D_beta-lactamase_OXA-74	0.043405488
8	trimethoprim-resistant_dihydrofolate_reductase_DfrA17	0.040628463
17	trimethoprim-resistant_dihydrofolate_reductase_DfrA1	0.02759428
7	aminoglycoside_6'-N-acetyltransferase_AAC(6')-Iaa|SNP-201-201	0.01617785
14	Macrolide_export_protein_MacA|SNP-1092-1092	0.009800506
10	eptB|SNP-945-945	0.008161242
9	sensor_histidine_kinase_KdpD|SNP-2238-2238	0.007943727
3	Multidrug_resistance_protein_MdtK|SNP-111-111	0.0065600444
16	chloramphenicol/florfenicol_efflux_MFS_transporter_FloR|SNP-482-482	0.0054859105
13	Bcr/CflA_family_multidrug_efflux_MFS_transporter(WP_000213396.1)	0.003568337
4	DNA-directed_RNA_polymerase_subunit_beta(rpoB)|SNP-780-780	0.003139403
11	bifunctional_UDP-4-amino-4-deoxy-L-arabinose_formyltransferase/UDP-glucuronic_acid_oxidase_ArnA|SNP-66-66	0.0027522694
18	Outer_membrane_protein_TolC|SNP-1095-1095	0.0021094258
15	DNA-directed_RNA_polymerase_subunit_beta(rpoB)|SNP-915-915	0.0016477095
