	Feature	Importance
0	extended-spectrum_class_A_beta-lactamase_CTX-M-55	0.4678514
3	class_C_beta-lactamase_CMY-2	0.20112751
1	quinolone_resistance_pentapeptide_repeat_protein_QnrB22	0.18883632
9	extended-spectrum_class_A_beta-lactamase_CTX-M-123	0.032350738
8	extended-spectrum_class_A_beta-lactamase_CTX-M-64	0.031674728
25	extended-spectrum_class_A_beta-lactamase_CTX-M-130	0.013281793
22	extended-spectrum_class_A_beta-lactamase_CTX-M-65	0.011068335
18	sulfonamide-resistant_dihydropteroate_synthase_Sul1	0.004769555
2	macrolide_resistance_MFS_transporter_Mrx(A)	0.004486281
10	multidrug_efflux_transporter_outer_membrane_subunit_MdsC|SNP-878-878	0.0044066887
21	DNA-directed_RNA_polymerase_subunit_beta(rpoB)|SNP-3282-3282	0.0042505846
13	extended-spectrum_class_C_beta-lactamase_DHA-1	0.003485966
15	Mph(A)_family_macrolide_2'-phosphotransferase	0.0031074767
4	macrolide_resistance_MFS_transporter_Mrx(A)|SNP-333-333	0.0026833448
12	Multidrug_resistance_protein_MdtK|SNP-1059-1059	0.0025710938
19	multidrug_efflux_MFS_transporter_MdtM|SNP-1149-1149	0.0024117448
23	multidrug_efflux_RND_transporter_subunit_MdtA|SNP-1167-1167	0.0023713608
17	multidrug_efflux_transporter_outer_membrane_subunit_MdsC|SNP-1479-1479	0.0022697244
6	multidrug_efflux_transporter_outer_membrane_subunit_MdsC|SNP-917-917	0.002220299
26	sensor_histidine_kinase_KdpD|SNP-756-756	0.0020180917
14	ANT(3'')-Ia_family_aminoglycoside_nucleotidyltransferase_AadA|SNP-393-393	0.0020014117
5	ANT(3'')-Ia_family_aminoglycoside_nucleotidyltransferase_AadA|SNP-666-666	0.0017256114
11	DNA-directed_RNA_polymerase_subunit_beta(rpoB)|SNP-993-993	0.0016848812
20	DNA-directed_RNA_polymerase_subunit_beta(rpoB)|SNP-3417-3417	0.0014816923
28	eptB|SNP-1624-1624	0.0011366742
29	multidrug_efflux_RND_transporter_subunit_MdtA|SNP-666-666	0.00105732
24	LPS_assembly_protein_LptD|SNP-906-906	0.0009791785
27	Multidrug_resistance_protein_MdtK|SNP-813-813	0.00094277505
7	DNA-directed_RNA_polymerase_subunit_beta(rpoB)|SNP-915-915	0.0008984125
16	Macrolide_export_ATP-binding/permease_protein_MacB|SNP-1587-1587	0.00084899156
