	Feature	Importance
1	transcriptional_regulator_LeuO|SNP-725-725	0.48686096
4	16S_rRNA_(adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase_RsmA|SNP-597-597	0.22104797
2	multidrug_efflux_MFS_transporter_MdtM|SNP-1056-1056	0.15348405
5	LPS_assembly_protein_LptD|SNP-2010-2010	0.033778
6	LPS_assembly_protein_LptD|SNP-940-940	0.027647596
10	Outer_membrane_protein_TolC|delete-868-869	0.024000468
13	phosphoethanolamine--lipid_A_transferase_MCR-1.1	0.020331334
15	DNA_gyrase_subunit_A_GyrA|SNP-248-248	0.0050960234
12	DNA_gyrase_subunit_B|SNP-1206-1206	0.0047041583
8	16S_rRNA_(adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase_RsmA|SNP-354-354	0.0043937447
18	LPS_assembly_protein_LptD|SNP-1281-1281	0.004176939
7	DNA_topoisomerase_IV_subunit_B_ParE|SNP-1695-1695	0.0033563483
17	UDP-glucose_6-dehydrogenase|SNP-267-267	0.0029892866
3	D-alanine--D-alanine_ligase_ddlA|SNP-427-427	0.0023448684
9	Outer_membrane_protein_TolC|delete-869-870	0.0019066834
19	eptB|SNP-1155-1155	0.0012021507
11	two-component_system_sensor_histidine_kinase_PhoQ|SNP-88-88	0.0008988819
14	stress_response_regulator_transcription_factor_CpxR|SNP-303-303	0.0008893384
16	Outer_membrane_protein_TolC|SNP-1143-1143	0.0005987805
0	multidrug_resistance_outer_membrane_protein_MdtQ|SNP-63-63	0.0002925034
